"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"LOC144621260",2772.76619333171,0.0346139051867357,0.0796167435572723,0.460555195211504,0.878106767916302
"LOC144621269",6797.38137233509,0.0161319626367068,0.108768281351596,0.200899285548603,0.742873658165123
"LOC111120925",191.443047044146,-0.0219290546029625,0.134326110992592,0.0773100988622949,0.620697936089597
"LOC144621283",932.054004330847,-0.0407902411424799,0.0842832189706444,0.353105974003155,0.830934588137191
"LOC144621276",12350.8891848022,0.00847306200827557,0.0846893159501983,0.845015371195684,0.972647131666958
"LOC111115920",213.338614302169,0.0747528963198989,0.097232149811612,0.0240071805503254,0.481786148069238
"LOC144621308",70.702024188447,0.0182473620018148,0.0984345269903471,0.347015177552511,0.827893609400997
"LOC111112629",733.384303107351,-0.00355704786483866,0.097323470439254,0.857912567138202,0.975006339817325
"LOC111102827",2230.64879804404,0.044207023666192,0.0953714208193404,0.129828597806096,0.686697223256735
"LOC111102829",563.572280701599,0.0228965319905391,0.0931250261202885,0.469694982247132,0.881412113737893
"LOC111103567",1513.49770390369,0.053711524869029,0.0873641049918747,0.192214079358806,0.73457285077765
"LOC111103568",1470.36526034892,0.00549915346036978,0.0917728686626334,0.871718897983235,0.978873210410685
"LOC111103866",12610.8072525661,0.0793466675290105,0.0771217055867159,0.100288644853347,0.652484380496141
"LOC111102774",260.517657240637,0.0493610801110343,0.0936987804815986,0.126463616313334,0.68279288056358
"LOC111102932",1567.29305772311,0.0333626285049797,0.0860390812904372,0.429589507138379,0.865833501266364
"LOC111102934",1963.20810649898,0.00473654955172092,0.0872017104748845,0.907540200944039,0.984646858827535
"LOC111102931",1137.58795397586,-0.0291745668187751,0.0884773439412126,0.459113068427923,0.878106767916302
"LOC111104503",92.7991692457294,0.0278493761181611,0.0942931607177229,0.344052476763369,0.827388205663261
"LOC111104592",923.922087565474,0.0190974158981177,0.119534302051702,0.120566119331735,0.678072197295106
"LOC111102912",359.677655604557,0.0345244075309841,0.0974706092249906,0.159625682628221,0.712362560435577
"LOC144621350",45.1656633935124,-0.0222428737539079,0.11254022197739,0.117469005023712,0.674406864837629
"LOC144621354",39.2553750228974,-0.0240367247246368,0.103789439642965,0.153903568539488,0.707642434347242
"LOC111103115",6613.72050902916,-0.0182402190835584,0.059908474478245,0.700012964293689,0.945332770277923
"LOC111102741",30.3088553431862,-0.000272683657276371,0.0974997480922072,0.988685020673434,0.998592378269561
"LOC111102740",47.5086408026678,0.0155781015426467,0.099925548597854,0.347632387480225,0.827893609400997
"LOC144621377",159.19004421986,0.0421546011813231,0.171335895031581,0.0190693380544137,0.448446407850965
"LOC144621385",84.099095964078,0.0152217626731364,0.113344028098193,0.185924290086071,0.73060610427107
"LOC144621432",44.2462355546848,-0.0110805476284566,0.0970599356036852,0.601808447235486,0.919760246536059
"LOC111102735",534.867730466736,0.00808500669691335,0.102178046367404,0.502192124897191,0.890928659582828
"LOC144621503",13.2133740797715,-0.0107770281298938,0.100306614775024,0.461928323002299,0.87864998908476
"LOC144621449",806.781783186813,0.0246657902783637,0.0995817301623221,0.209786531157146,0.749286871859563
"LOC111102736",339.899535389289,0.0559046363981121,0.149994947102642,0.0124672275259102,0.399350993467362
"LOC111102742",8.23172692799167,-0.00569253250752459,0.102499257707735,0.605913125734614,0.920401771090378
"LOC111102737",110.168748411215,0.00886915964373636,0.0955684115873712,0.726519870293887,0.951975340779308
"LOC144621415",161.317025446685,0.0285867834858477,0.0942483602023394,0.333743673154378,0.823764736632253
"LOC144621492",225.428123306987,0.00490988544316205,0.103768501222708,0.624318142093107,0.923622827475355
"LOC111103347",256.65529167098,0.0653131840773618,0.148024058930479,0.00886787991376493,0.359878120833079
"LOC111103350",308.657528656201,-0.00196582162363873,0.0985750562004108,0.90260470060101,0.98344946028062
"LOC111103349",1197.59706453748,0.00703886546895817,0.0810752268134917,0.878389427246056,0.979302225041155
"LOC111103915",5939.25065235133,-0.0346640184391191,0.0893848312735186,0.365284468128674,0.835954780301888
